4/16/2020,6600,,,,
3/10/2020,11900,,,,
4/8/2020,6050,,,,
1/26/2021,14950,,,,
3/12/2020,11900,,,,
7/3/2020,7700,,,,
11/1/2020,3450,,,,
10/8/2020,14050,,,,
2/28/2021,4050,,,,
8/20/2020,14150,,,,
8/10/2020,12950,,,,
9/30/2020,15850,,,,
3/18/2020,11000,,,,
9/1/2020,19650,,,,
6/9/2020,9800,,,,
3/19/2020,11600,,,,
9/5/2020,5500,,,,
10/6/2020,14950,,,,
2/24/2020,12650,,,,
3/8/2020,2400,,,,
8/11/2020,14050,,,,
4/22/2020,7600,,,,
9/14/2020,13600,,,,
12/25/2020,1200,,,,
10/22/2020,15550,,,,
10/15/2020,15800,,,,
10/31/2020,6000,,,,
11/4/2020,13550,,,,
2/28/2020,14000,,,,
12/26/2020,1950,,,,
5/15/2020,7400,,,,
9/19/2020,6600,,,,
12/1/2020,15950,,,,
8/12/2020,14600,,,,
4/23/2020,7150,,,,
6/16/2020,10800,,,,
9/21/2020,14000,,,,
6/5/2020,9500,,,,
2/6/2021,6750,,,,
7/29/2020,13950,,,,
11/29/2020,3150,,,,
12/27/2020,1650,,,,
10/11/2020,3750,,,,
3/3/2020,13550,,,,
8/8/2020,6500,,,,
1/17/2021,2950,,,,
8/23/2020,3600,,,,
2/14/2020,13450,,,,
9/27/2020,3150,,,,
6/3/2020,9400,,,,
3/28/2020,2050,,,,
12/5/2020,6450,,,,
12/10/2020,16600,,,,
8/25/2020,19000,,,,
5/26/2020,7000,,,,
12/24/2020,3900,,,,
12/21/2020,4900,,,,
10/30/2020,17200,,,,
11/25/2020,14800,,,,
10/23/2020,17950,,,,
2/18/2020,14550,,,,
6/24/2020,11050,,,,
1/15/2021,20150,,,,
11/13/2020,15700,,,,
5/8/2020,7450,,,,
10/13/2020,15500,,,,
5/3/2020,1100,,,,
3/20/2020,10650,,,,
10/16/2020,17550,,,,
4/25/2020,2250,,,,
11/18/2020,15650,,,,
1/4/2021,10650,,,,
4/2/2020,5750,,,,
8/4/2020,13200,,,,
9/20/2020,3500,,,,
1/1/2021,1750,,,,
2/29/2020,4900,,,,
8/26/2020,15600,,,,
9/22/2020,15000,,,,
6/18/2020,11600,,,,
9/13/2020,2900,,,,
7/6/2020,9450,,,,
6/23/2020,10850,,,,
6/14/2020,1950,,,,
8/5/2020,12750,,,,
6/10/2020,11100,,,,
3/29/2020,1100,,,,
7/17/2020,11950,,,,
1/13/2021,15600,,,,
9/12/2020,6300,,,,
4/11/2020,1900,,,,
3/25/2020,6600,,,,
4/24/2020,7650,,,,
1/22/2021,38150,,,,
7/28/2020,27450,,,,
12/4/2020,17500,,,,
12/23/2020,10750,,,,
12/29/2020,9700,,,,
12/14/2020,14750,,,,
1/5/2021,11300,,,,
3/17/2020,11100,,,,
10/20/2020,15650,,,,
5/17/2020,1300,,,,
6/17/2020,11200,,,,
7/25/2020,5800,,,,
1/10/2021,2400,,,,
9/24/2020,17050,,,,
7/13/2020,10950,,,,
1/27/2021,16500,,,,
5/27/2020,8650,,,,
1/9/2021,6100,,,,
6/6/2020,3400,,,,
10/9/2020,17300,,,,
11/17/2020,14250,,,,
1/11/2021,13650,,,,
2/23/2020,2400,,,,
3/24/2020,5900,,,,
3/21/2020,3350,,,,
10/24/2020,6150,,,,
3/7/2020,4650,,,,
2/7/2021,2800,,,,
6/22/2020,9950,,,,
7/20/2020,11650,,,,
2/16/2020,2150,,,,
2/27/2020,15550,,,,
7/23/2020,13800,,,,
1/19/2021,18950,,Done,94400,
1/24/2021,5700,,,,
9/11/2020,18700,,,,
94400,3266550,65331,0.75,48998.25,13.610625
Done,Total,Requests,Request per second,Time (sec),Time (Hours)
