11/4/2020,13550
10/19/2020,13200
7/21/2020,13250
7/10/2020,12350
7/24/2020,14700
1/13/2021,15600
9/13/2020,2900
8/8/2020,6500
1/11/2021,13650
2/19/2020,15500
7/30/2020,18900
4/25/2020,2250
1/14/2021,17450
1/15/2021,20150
6/10/2020,11100
9/28/2020,14100
8/1/2020,5400
1/19/2021,18950
12/25/2020,1200
12/17/2020,33100
4/11/2020,1900
4/1/2020,5650
9/11/2020,18700
7/17/2020,11950
1/17/2021,2950
7/14/2020,11750
11/16/2020,13200
6/15/2020,9200
3/26/2020,5950
3/14/2020,4500
5/21/2020,7950
11/8/2020,2450
3/2/2020,12050
5/6/2020,7250
1/2/2021,2100
4/12/2020,900
6/4/2020,9750
12/6/2020,3250
5/2/2020,2100
8/18/2020,13950
6/3/2020,9400
5/28/2020,9000
8/27/2020,14500
5/25/2020,6400
8/11/2020,14050
1/24/2021,5700
8/19/2020,13650
12/3/2020,31600
8/21/2020,16250
12/30/2020,8650
7/20/2020,11650
1/5/2021,11300
3/28/2020,2050
7/27/2020,25100
3/31/2020,6350
11/18/2020,15650
3/24/2020,5900
6/13/2020,3750
1/16/2021,7150
3/18/2020,11000
4/8/2020,6050
4/7/2020,5700
5/13/2020,8050
7/13/2020,10950
6/7/2020,1800
12/10/2020,16600
11/2/2020,12550
7/7/2020,11300
4/22/2020,7600
9/18/2020,18250
7/26/2020,3600
9/19/2020,6600
9/2/2020,16100
5/14/2020,7950
4/13/2020,5400
8/22/2020,6300
6/14/2020,1950
11/7/2020,5350
9/6/2020,3050
1/22/2021,38150
7/3/2020,7700
5/30/2020,2900
7/25/2020,5800
5/19/2020,7950
8/10/2020,12950
6/24/2020,11050
6/29/2020,9500
12/13/2020,3300
2/21/2020,14300
12/2/2020,16250
10/20/2020,15650
8/23/2020,3600
11/28/2020,6200
6/9/2020,9800
6/30/2020,11550
8/17/2020,13000
7/31/2020,15900
12/8/2020,15350
12/24/2020,3900
5/16/2020,2600
5/27/2020,8650
1/12/2021,14700
1/26/2021,14950
11/5/2020,29650
10/31/2020,6000
3/2/2021,18250
1/8/2021,16900
3/8/2020,2400
8/4/2020,13200
5/31/2020,1500
10/3/2020,6450
11/3/2020,11950
11/24/2020,14850
2/18/2020,14550
9/12/2020,6300
7/1/2020,10750
4/26/2020,1100
10/22/2020,15550
8/13/2020,14850
1/3/2021,1650
2/17/2020,10200
9/21/2020,14000
1/20/2021,18050
8/3/2020,11200
3/19/2020,11600
9/3/2020,16600
10/28/2020,19300
1/27/2021,16500
9/24/2020,17050
2/24/2020,12650
9/1/2020,19650
11/17/2020,14250
11/25/2020,14800
10/11/2020,3750
4/10/2020,5900
6/25/2020,21950
1/21/2021,20750
10/1/2020,15700
9/27/2020,3150
6/6/2020,3400
8/7/2020,16600
2/28/2020,14000
10/21/2020,15150
10/2/2020,17650
11/29/2020,3150
1/1/2021,1750
8/20/2020,14150
10/29/2020,17100
5/7/2020,750
10/13/2020,15500
9/4/2020,18200
12/21/2020,4900
9/8/2020,13850
6/22/2020,9950
12/1/2020,15950
10/12/2020,11750
8/25/2020,19000
2/23/2020,2400
3/21/2020,3350
5/17/2020,1300
4/23/2020,7150
7/6/2020,9450
7/4/2020,2200
5/10/2020,1150
8/2/2020,3000
2/22/2020,4500
4/14/2020,6250
11/23/2020,14150
12/23/2020,10750
3/27/2020,5350
10/26/2020,13650
4/3/2020,5800
12/15/2020,14500
10/10/2020,6650
1/4/2021,10650
12/27/2020,1650
11/19/2020,15900
9/22/2020,15000
11/11/2020,12250
9/23/2020,15950
11/13/2020,15700
3/9/2020,11550
2/29/2020,4900
4/4/2020,2100
6/1/2020,7600
12/16/2020,15250
9/9/2020,15250
5/11/2020,6700
8/9/2020,2850
9/17/2020,16450
3/29/2020,1100
12/4/2020,17500
7/29/2020,13950
10/7/2020,15650
3/12/2020,11900
5/26/2020,7000
6/2/2020,8450
8/5/2020,12750
6/18/2020,11600
4/17/2020,6950
5/8/2020,7450
8/24/2020,1300
1/9/2021,6100
4/2/2020,5750
9/26/2020,7500
12/14/2020,14750
10/8/2020,14050
4/5/2020,1150
3/6/2020,13750
2/26/2020,15150
12/26/2020,1950
12/22/2020,9650
11/14/2020,4600
6/11/2020,150
4/15/2020,50
9/30/2020,15850
5/20/2020,7650
5/4/2020,5500
5/9/2020,2450
12/7/2020,14700
9/25/2020,18200
7/16/2020,13050
8/12/2020,14600
10/30/2020,17200
11/26/2020,4450
6/23/2020,10850
12/5/2020,6450
2/20/2020,15300
9/15/2020,15350
7/5/2020,1950
8/29/2020,6900
3/20/2020,10650
11/9/2020,13700
7/9/2020,11900
12/9/2020,16100
3/30/2020,5450
4/20/2020,6150
3/13/2020,11550
9/10/2020,16100
1/10/2021,2400
4/9/2020,6150
3/17/2020,11100
10/6/2020,14950
10/17/2020,6650
7/28/2020,27450
4/30/2020,7150
5/5/2020,6850
3/4/2020,14650
2/16/2020,2150
1/7/2021,13950
1/18/2021,15100
3/5/2020,14750
9/7/2020,5600
4/24/2020,7650
10/23/2020,17950
2/27/2020,15550
9/20/2020,3500
12/11/2020,18500
11/15/2020,2800
4/16/2020,6600
3/11/2020,150
7/11/2020,4450
,2706650
